,text,prediction
70302,"AITA for installing cameras in my house A female colleague of my girlfriend was in a bad spot in February and we had an extra room in our home. It was supposed to be a short term, 3 month thing. We told her we had the intentions of putting cameras inside and outside the house since we own a lot of expensive things.

Fast foward 8 months she's still living with us and has gotten really comfortable. We went on vacation and came back to things missing in our house. $400 sunglasses were one of the big ones. There is an individual she brings over that I've personally caught stealing a pair of glasses I bought on another occasion. He said he was drunk and thought they were his. The funny thing is, those glasses were in my bedroom. Since we don't have any hard proof I decided to put up those cameras.

Today, she said she feels violated and I need to take the cameras down. The cameras are placed in the common areas (living room, kitchen) and in my office. I told her that it would be silly not to own these cameras and what if we get robbed, there needs to be something we can review.

I didn't think I needed to consult her considering the situation and it just felt like something we'd rather have than not have. It's been brought up in the past that we were going to install them, we didn't get around to doing so until now. Am I the asshole?

Update: she went on a rampage and has been arguing about how we think she's a thief.  She's moving out end of the month.  All worked itself out.  Thanks for everyone's input.

Update #2: the conversations have gone to a whole new level of crazy.  She's claiming I'm trying to record her naked around the house.  I asked what are you doing naked around the house with housemates?  She stormed out today shouting i should put cameras in her room and bathroom.  I have no idea how this is getting so out of hand.  Wish me luck, this is going to be a long 2 weeks until she is gone.  Starting to really worry about her mental issues and the rest of the time she is here.

Final Update: My SO served her with a notice to vacate by the end of the month and it exploded into a huge argument that I able to witness from my newly installed cameras :D.  She packed her stuff this morning and left.  I'm extremely happy that is all over. I appreciate everyone's input and advice.  It all helped out greatly.",
58298,"AITA for not asking if my coworker wanted a sandwhich I'm a 20yo (M) and I work in a restaurant with 5 other chefs, 4 of us were working today and it was a very busy day because of bank holiday Monday.  My shift started at 11 and was finishing at 6. Around 3:30 I quickly chucked a baguette in the oven and made a half assed sandwich amongst the chaos as I hadn't eaten yet. When Jim (38yo M, changed name cause anonymous) saw me eating the sandwich he got annoyed and complained because I didn't offer him one. He's mentioned this a couple times before when I've quickly made something to eat. On one hand I understand because some days he will plan something he's going to make and ask us if we want a plate. However, he never says yes if I do ask him (not a sandwich person) and I didn't feel like I was personally attacking anyone for just making myself some food. Safe to say he was annoyed. It almost feels like I've signed a contract since I eat his food when he offers, I have to offer every time I make food for myself. I would not be upset in the slightest if he made food for himself. I was hungry and just wanted to eat. 

&#x200B;

I apologise for my terrible writing I've never been good at getting my words out.",
31464,"AITA for sending someone a message to make them feel better? This just happened and I'm really upset by it.

There's an artist whose work I really admire. Unfortunately there's a group of people who don't like them. They get tons of hate on social media despite not having done anything wrong.

Seeing some of the hateful, threatening messages that they get makes me feel awful. I wish I could make these people stop but that's not possible. So I thought, if I was in that situation, constantly getting hate and negativity all the time, that would be incredibly hard. It would mean a lot to me to know I'm not alone and that people see what's going on and that they care and listen and believe me. 

So I decided to send the person a message. That was a big deal for me because I have social anxiety and negative reactions tend to make me feel completely worthless, so I find it very hard to talk to people on social media or in real life. Especially artists/creators that I look up to.

In the message I basically said to the person that they are important, that people care about them, that their art is amazing and that they are not alone in this situation. I explained that I didn't know how to help them so I wanted to at least send them a positive message since they get so many negative ones all the time. I said that I'd try to maybe send messages like this occasionally unless they post that that would just be annoying because I wouldn't want that of course. All I wanted was to show my support for this person who is going through something really difficult and awful. 

Unfortunately the person didn't take my message the way I intended at all. They replied to it - publicly - basically saying that they or their self esteem aren't the problem, that the abusers are the problem. That only the abusers can fix the problem. That I am silencing them and their feelings. Drowning out their words about the things that are happening. It was a pretty long reply that has since been deleted so I can't read it again. It was entirely negative and aggressive though. 

I never wanted to hurt this person more. Like I said, I only wanted them to find some friendly words among all the hate. I didn't say they are the problem in any way or any of the things that they claimed. I didn't say that they shouldn't be hurt by the awful things that people say. I don't understand how I silenced them by saying that there are people who care about them and believe them. 

I'm not angry at the person for having a negative reaction. I'm angry at myself because I genuinely thought I was saying kind things. I understand that maybe these aren't things that were important for THEM to hear so I completely get that they didn't like it and that's fine. But the public reply was brutal and really hurtful and I don't understand what I did that was THAT awful. 

I hate myself for sending that message now and I'm completely confused. Was it wrong of me to message them at all? Am I the asshole here?",
45905,"AITA for calling my Dad the 'N-word' and asking him to call me it back? I have a white Dad and black Mom, Me being their lightskin son. I am 16 and love reading alot of stories here, I never had a potential asshole experience (LOL) until a few days ago.

My Mom was gone shopping and it was just Me and my Dad, when I saw I jokingly said 'What's up my N*gga?' he just gave me a 'Ha!' and told me not to call him that. I asked him to give it back and that he has the n-word pass but he wouldn't say it, he never said the word and never wanted to say it, I told him that there was no way he never said that word in all his years, he just laughed and said he was telling mum.

When my Mom got back from shopping, he told her and she wasn't happy with me but she still found the comedy in the situation at imagining my Dad saying it back. But they were still upset with me for saying that word and grounded me for the week which I admit, I probably deserved that and it has me thinking, was what I did an asshole move?",
21892,"AITA for confronting our wedding photographer? My husband and I were married in January. We eloped with only the two of us, our officiant, and our photographer in attendance.   


Before I hired the photographer, I had a meeting with her and told her that there were certain parts of my body I was very insecure about, and being plus sized, I needed a photographer who could accommodate that. She quickly told me that since she is also plus-sized, she was great at angles and editing that would flatter or hide the areas I was insecure about. I was so relieved, because I loved her work. We hired her the same day.   


We paid our photographer for 6 hours which included get ready, first look, ceremony, traditional, and dinner pictures which just included a toast and cake cutting. Our contract stated that our package included 300 edited images. It also states that the photos will be delivered within two months, but she has up to 90 days to deliver.  Totally fine. My only request was for ONE image that wasn't watermarked so we could send out announcements. She happily agreed.   


When we booked her for our wedding, our package also included an engagement shoot. It was beautiful. The pics were delivered later than the stated time in the contract, but at this point they were so beautiful, I didn't care. I loved them so much, I booked her for our Christmas photos. She sent me a couple of photos with no watermark so I could send out Christmas cards, but I didn't get our album of 40 photos until February.  I was pretty upset about it, but at that point, I had already paid her in full for our whole wedding.   


The wedding came and went, and it was beautiful. I got a few watermarked sneak peaks, and I was super excited to get the rest. I few weeks later, I contacted her about the image without the watermark so I could send out announcements. She told me she would have to 


I received my pictures today after two and a half months. The sneak peaks that were watermarked were not in the album.  I received a total of 152 photos. Several of which were the same photo, just one in color, and one in black in white. If you include the sneaks which I don't have yet, I've received about 160 photos. And they are not good AT ALL. They are horribly unflattering, crooked, off centered, and she didn't even edit out things like a pimple on my husband's face. Very basic things. Some of them are so unflattering, I don't even feel comfortable showing other people. They're so bad they brought me to tears. And it's even worse because I only have HALF of the pictures I was promised to pick from.   


AITA for sending her an email and telling her how unhappy I am? I don't want to be rude or mean, but I'm just at a loss. ",
42936,"AITA Council Estate Mentality... I live on a council estate (with a mixture of social and privately owned housing) in the UK, the houses all have a front and back garden. I don't go out often, my back garden is my safe space when I want to be outdoors, (agoraphobia, depression and anxiety blah blah blah...) I have a 7 ft fence around it, usually I'm calm in ""my space"" I like to listen to music and stories on you-tube (never louder than laptop speaker volume and usually with headphones)... Saturday, 29 June, 2019... Glastonbury Music Festival, main weekend! 11.30 am... **Duumm, duumm, duumm, duumm**... bass starts echoing down the back of the 16 houses that back onto each other, 8 one side, 8 the other (one of which my family live in), bouncing off the 2 houses that are perpendicular and back up the 16 (there are at least 2 families in these rows with tiny (several under 1,2 and 3 yo) kids). I couldn't hear my music because of theirs, I couldn't even hear the t.v. in the living room (with all the windows shut) over it. This went on for **9 HOURS!** At around 8.30pm, 2 of my kids were trying to get to sleep, and I thought ""enough is enough"" I took a sip of dutch courage, spoke to my next door neighbours at either side and rang my mum and asked her to come with me. I called round at the house (mum stood at the gate)... I went into the garden, front door was ajar and back door was wide open (nobody there but I didn't burgle them).

I went round the back and was faced with a banner declaring ""Clashtonbury"" along with around 50 people in ""festival"" gear (wellies, rubber ""flamingo"" rings, hula skirts, giant silly hats etc.) There was a lady bending over a stereo system with speakers pointing down the garden towards our houses, putting the next ""bass"" song on...

""Hi, I don't mean to sound horrible but please can you turn your speaker towards your house so it doesn't echo down the row?"" I said, (I was now speaking to the lady who lives in the house). At this point (an obviously obliterated) blonde lady (who didn't live there) wobbled over and said ""who's she? what does she want? who are you? what the eff do you want?"" I asked again if they'd turn the speaker towards the house so the ""music"" was at least a little bit muted and explained about the kids going to bed, ""*blonde*"" said... ""**It's not even dark yet, so turning the speakers towards the house won't make any difference!**""... not sure what difference the lack of darkness made to the volume of the music :/ Council Estate mentality! The music only got quieter after 10 p.m. The kids eventually got to sleep. People should be able to enjoy their gardens, YES! to the the detriment of neighbours enjoying their garden? NO! If you want to experience a festival, go to a festival!!! There's one 10 miles up the road in 3 weeks!

The lady who lives in the house hasn't spoken to me since and I see her every day at school, we were always friendly before :/ Am I The A-Hole?",
1458,"AITA - For asking my boyfriend to stop watching TV? I was in the middle of cooking dinner and I asked my boyfriend to set the salad stuff out. I was running around the kitchen like crazy but he was paused and completely mesmerized by the TV my dad was watching in the living room. My boyfriend's worst quality is that when a screen is on he MUST watch it, despite if it's halfway through a movie he doesn't know, a shitty sitcom, or even a dumb commercial. There have been multiple dates in the past where we've gone to restaurants with TVs and I have been ignored the entire meal because he's too caught up and can't look away. Even if it's sports (which he doesn't like) or a Spanish sitcom (he doesn't speak Spanish) anything on a screen will distract him. So I'm trying to cook dinner and get stuff done and he's just paused standing there watching a stupid show. I asked him (snappily, I will admit I was very frustrated because of multiple things at that moment) to please stop watching TV and set the stuff up (it was in his hands) and he yelled at me that I was being controlling. Now we're arguing about it again for the millionth time and his excuse is he didn't grow up in a house where the TV was always playing and he had to sneak out of his room to watch it whereas the TV is always on here and I had my own TV since I was little. I can ignore it easily but he can't. He also doesn't want to try to change it. He seriously gets mesmerized and zones out completely and I really, really wish he could stop. ",
20798,"AITA for being grossed out that my sister licks the ice cream lid? I didn't realize until just now that for the last forever years she's been licking the lid of the icecream container after we eat it past the first layer because ""it isn't touching"" then when I got pissed and grossed out she says I'm ""overreacting.""

Am I the asshole?",
1391,"AITA for talking crush into breaking up with her older bf? So I met a girl at a wedding recently. After talking and hanging out a fair bit while she was in town she headed home. we've kept in contact and I really dig this girl but we're to far away to try a distance relationship. we've talked about making a couple trips to see each other and hang out but she also had a bf. Over the last couple weeks talking to her she told me about her boyfriend who's 11 years older and loves to make jokes about the people hes killed and tortured. he threatened to light her on fire once and made her lie about her age to his family to not be such a big age gap. after weeks of telling her she can do so much better and that she deserves to be happy in life as well she broke up with him over the phone last night. Shes beat up about it as she claims she loved him and he could be so sweet when he wanted to.

Am I the asshole for getting her to break up with her bf?
EDIT: SPELLING AND GRAMMER
",
28989,"AITA for saying that I don’t get turned on by pictures of vaginas when my S/O sent nudes of only her vagina to me. There is a very clear distinction that I would like to make here that I told her I don’t like pictures of just vaginas. If her face is in it or she’s touching it or in porn if it’s being used I love that stuff. But just a picture of a vagina doesn’t do it for me.

I told her this preference so I didn’t have to lie an seem insincere and I felt she should know what drives me sexually, but after this she became super insecure accusing me of not liking her vagina specifically.

She said that it would be like her saying she didn’t like my dick and I responded it’s like me sending a flaccid dick pic. It doesn’t mean anything, it’s not in motion so to speak. If I sent her a picture of me hard that’s in motion that says I’m aroused and I feel good about you and myself. A flaccid dick pic is just borderline nasty as is just a vagina shot. 

Ultimately I didn’t want to lie to her and say that I was aroused when I wasn’t. I don’t know what I can do at this point because she now feels really self conscious about it. Was I the asshole for not lying to her and should I have lied to make her feel better? That’s what I’m leaning toward, but I can’t take back what I said.

And I know sending nudes is stupid, but you have to stay sexually connected somehow in a long distance relationship and she’s going to be away for 3-4 months.",
57854,"AITA contradicting the barista. At my previously favorite coffee shop, asked for a Grande $2.35 and 2 extra shots 0.75 each, so $2.35 + 1,50 = $3.85.  BUT the barista says 'oh, that's a redeye, that will be $4.10.  I said, I didn't ask for a redeye, Grande with 2 extra shots.  Well, I was charged $4.10 and got a snide look and an eye roll as an extra treat.  Will take my business elsewhere, sure only 25 cents but AITA?",
29280,"AITA for asking my sister to pay for driving her to work? Me and my sister (me 23, her 20) both live with mom. I spend a lot of time at home - I have a job but I really only go in once or twice a week. My sister, on the other hand, has a full-time job Monday through Friday, about roughly 0.9 miles from our house.

However, I own a car, and she doesn't. For the past six or so months I've been driving her to work and driving back down to pick her up every day, and I noticed that I've been spending a little bit more money on gas recently, so today I asked if she could start paying for it - maybe $20 now and then $20 more every other week or so.

She got a little upset, and it spiraled into a big argument. She argued that it's not very far away, and that I don't go anywhere in the first place, etc... I argued that she should save up for her own car, call up a friend or her boyfriend to take her, and that I felt like I was being taken advantage of.

&#x200B;

Am I in the wrong here? I don't feel like I am, but at the same time maybe I'm being a hypocrite in this situation since at least she has a full-time job and helps my mom with money more than me. I don't know.",
69561,"AITA For Not Letting My GF Rent One Of My Condo's? I'm M25 and she's F23 we've been together for 2.5 years about. I am very fortunate to own 3 condos and one of them recently became unoccupied and I've been looking for a tenant. My GF and her sister who's 24 want to move out of their parents house and asked to rent my condo and I said no because I didn't want to be my gf's landlord plus they are both in school still and not making consistent money. They said their parents would help with the rent but I still said no. They've both been calling me a douche/ass for a couple of days. 

AITA?",
45562,"AITA for not paying the wifi when I technically have the money? I'm not sure how to start this so I'm just going to throw numbers around then explain the argument.

Wifi bill- $108
Rent- $326
Phone bill $100
My paycheck- $377(most recent) and $533 (end of the month)

I am thinking ahead so in the first paycheck I set aside 50 for the phone, and 150 for the rent. 

My mom says I don't have to save for the rent because she will make it so I don't have to pay. But I'm paranoid and I know sometimes shit can go down and mess up a plan so I don't want to spend the 150 on the wifi because of the ""what ifs"". If I spend it and I do end up needing to pay the rent, we are screwed so why risk that for wifi?

I got yelled at by my brother for bringing up that I have some money left over but its to eat at work because apparently that's selfish and he brought up that he used to go to work hungry when stuff like this happened. I also got yelled at for saving the 150 because my mom is convinced it'll be fine to spend it.

As the argument dies down my brother starts to leave but before he does he says that he's going to have to sell his ps4 again and buy a new wifi motum so he, himself, can use it since no one else wants to help out the house. And that made me angry.

Am I the asshole in this situation?

Edit 1: so it seems I wasn't as clear as I thought I was so here is round 2.

 The full WiFi bill is 108. It was normally paid by my brother and his girlfriend on top of their personal dues and the house's light but he was recently fired from his job. My share is rent, and my personal dues due to the fact that I am getting paid far less than those two combined. When I can spare it I do help with everything else and normally I would say yes to helping with a bill that isn't mine but at this time I only have 80$ for the next 2 weeks and the 200 is for the bills. The delimma is, 150 of that 200 might in fact not be needed but I don't want to take any chances and be late on the rent by a month.",
34592,"WIBTA if I actively and vocally opposed my GF’s son from getting married TL;DR GF’s son is 19 and has knocked a girl up. Now the baby momma and her mother are pressuring him to get married. His mother and I on the other hand are encouraging him to have a paternity test and refuse a marriage while he is living in our home because their typical living arrangements haven’t been stable.

Backstory... GF’s son (19) had a long distance relationship with a girl. She moved closer and he quickly got her pregnant. Questionably quickly. His mother and I have encouraged him to get a DNA test. We both believe it’s reasonable no matter the circumstances to be sure. Even if it was possible for us we would do the same so there are no potential uncertainties.

That however isn’t the problem. The issue is he wants to marry this girl to appease her and her mother. Meanwhile he’s informing us of this as he is staying at our home because the relationship has been incredibly rocky. He has been staying with us for two and a half weeks out of the last three weeks because the relationship is so rocky.

I am incredibly opposed to this potential marriage while my gf is biting her tongue even though it’s her son. She doesn’t disagree she just doesn’t think she can be decent about it. He also informed us tonight his baby mama would be visiting in the morning and told me specifically to talk to the baby mama.

This is where I’m conflicted. I know 100% I am not wrong in some aspects of this but it is also entirely not my place. Not even slightly. I am nothing to my GF’s son or the woman he (potentially) got pregnant. It truly isn’t my place however I care entirely about the success of this 19 yr old kid simply because he is my GF’s son. Would I be an asshole for voicing my opposition to a marriage in a few hours when I have to look at the baby mama in a few hours?",
13209,"AITA For Wanting my GF to Get a Career? I'm M22, she's F22. My gf graduated last june with a BA in English Lit and hasn't been able to find a job. She works at starbucks and has no plans of going back to school or doing professional development courses in order to get a career. She makes around like 20-25k at starbucks, and I'm on track to make 75k this year. I live alone in my own place and she lives with her parents and pays no rent which is why she's able to survive on 20k. Last night I told her about a project management program and a HR program at a community college here in Toronto and explained to her how those fields lead to some decent paying jobs especially project mgmt if you get the certification. She said she doesn't want to go back to school and doesn't want to work in a ""business"" environment. I kinda snapped at her and said she needs to be proactive and better herself or else she'll be at starbucks forever. She got mad at this and said I'm an asshole.

&#x200B;

AITA for this?",
39822,"AITA for embarrassing my boyfriend at work? Yes. Throwaway. We all know the drill. 
FaceTimed my bf yesterday while we were both on lunch at work. He works in a hospital and I work in an office. It should also be noted that said hospital is in an extremely rural area, and there are not many staff members nor patients. 
Anyway, I was alone in the break room, as was he. He spoke to nobody else during the call or even acknowledged anybody else during the call. I think we’re all guilty of talking to our SOs in private a little differently than we would in front of other people. Not necessarily dirty, but more along the lines of saying silly things, using dumb made up words the two of you frequently use together, saying some things in a “baby” voice (i frequently talk to him this way, as he does me. He actually did it for a good couple weeks when we started dating before I did it back) Most of our conversation he was a complete dick to me. He acted like he had better things to do than be talking to me, so I asked several times what was wrong, and each time he said nothing. 
Lunch comes to an end so I proceed to say goodbye and get ready to hang up. I get a “talk to you later, bye”. No “I love you, have a good day”, nothing. 
Receive a text from him and he is clearly aggravated at me, because of the way I talked to him. Apparently there were a couple other colleagues around him, and he said I embarrassed him, he was mad at me for it, etc. He said I should have known he was not alone. 
I don’t see it that way. I think he could have let me know he wasn’t by himself instead of having a 30 minute private conversation in the middle of an occupied lunch area. If he didn’t want to blatantly say “hey, there’s other people in here”, he could’ve simply said hi to a coworker, asked how they were, nodded at them, waved, something, ANYTHING to let me know they were there. I would have gotten the hint. Nope. He continued to let me go on like an idiot and bitch at me about it later. We are still arguing about this today. 
If IATA, I accept that. I would just like some outside perspective on this. So, AITA in this situation?",
96143,"AITA for asking my dad if he has a backup plan regarding the coronavirus and my grandparents returning from China My grandparents are Chinese. EDIT: They were in Zhongshan. They are flying back now. I asked my dad if he had a plan in place in case they had the virus, and raised the possibility of us getting sick. I stressed that I agreed with them coming back, but that I also wanted to know if they had a plan or any way to prevent the possibility of the rest of us getting sick.

He ended up saying, ""think about someone other than yourself"". I was fucking incensed, as I was asking out of care for others. I don't want my grandparents to stay in China, but I also want my mom and brothers and dad to stay safe. All I did was ask if they had a plan in place. They didn't, and just said wash your hands and if one of them is sick we'll all go get checked out. It escalated into a screaming match, with my parents telling me to think about my grandparents and how scared they are. I don't disagree with bringing them back at all, and told them that.
But all I fucking did was ask about a very real possibility of us getting sick, and if they had any proactive measures in place. I do care about my grandparents a huge amount. But I also care about the rest of the family, and I just want to fucking know if he has a plan. That doesn't make me fucking evil or anything, does it? AITA?",
72542,"AITA for yelling at my mate on his birthday night out? Like feel like I’m in the right, but my mate normally has a really good moral compass, so I don’t know.

It wasn’t actually his birthday but it was the night we celebrated. Me Bill and Phill went to spoons (a pub) for shots and then went clubbing. After we were done we walked around looking for a taxi.  We talked a lot on the way. One of the topics that came up was my sexuality (I’m bi). Phill mention how he finds gay sex disgusting and cringes when he says it. This was not the first time he’s said something like this and tbh I’d had enough. So I started shouting at his about how he’s being homophobic and insensitive. He simply says he’s not and I’m acting weird. So I continue shouting saying something like “how do you think it feels knowing that if I date another man and want to have sex my best friend is going to think I’m disgusting. And went someone is being a dick or something bad happens how do you think I feel when you describe them as gay!” 
This was followed by silence. After a min Phill says “I can’t believe that’s how feel. That makes no sense to me” it was obvious he was a little pissed with me. I dropped it after that.

So AITA for yelling at my friend on his night out?

Edit: need to explain something which I completely forgot.
Due to completely unrelated reasons I wasn’t drinking much that night. And I had need sober for a while.  Phil was a little bit tipsy but its hard to tell with him since he’s a light weight. 
I’m not sure if it matters but Bill was also sober at this point.

Also, although this doesn’t make a difference I thought I’d clarify; we were walking round town look for a taxi cos we kinda wanted to stay in town but we also kinda wanted to go to bed. So we walked around letting fate decide.

And thank you for everyone’s reply’s, it’s nice knowing that I may not have been completely in the wrong",
79251,"AITA for going after someone who's friends with someone who has feelings for me? so like sixth months ago i met this girl (i'm also a girl) and we would flirt with each other, cuddle, make out, but nothing more. i tried repeatedly to make us something more but was shot down every time, so i assumed she just wasn't into me. it had been awhile since we last made out and all we were doing was cuddling whenever we were at my other friend's house. and through this girl, i met this guy. long story short, this guy and i become an item. a few days ago i was at this guy's house and the girl snapchatted me and without thinking about it i just replied with a pic of the guy and he cuddling and she FLIPPED OUT. in hindsight, i shouldn't have done that, but i genuinely thought she wasn't into me; i was wrong. she starts going on about how i used her as a lesbian experiment and how i was acting like a ""straight girl"" because i told her i questioned my sexuality a lot and wasn't always sure i was into guys, coming to terms with my sexuality has ALWAYS been a huge struggle for me and having her accuse me of being straight really stung. then she starts snapping the guy i'm with talking about how i used her, how i dick hop to whoever's around, and telling him i question my sexuality a lot. while she's doing this, i'm apologizing profusely because i really do care about her and never wanted to hurt her because she's one of my best friends and i love her. i'm trying to tell her i never used her and that i didn't think she was into me because nothing happened more with us. she ended up blocking me on everything, my friend group is telling me that she just needs some time to get over it and that she'll come around eventually and i really do hope that's true because i love her, but at the same time i feel absolutely awful for what i did and for hurting her. so, AITA? or was it just a genuine mistake on my part?",
31748,"AITA for butting into my bro & his gf's argument and making it worse? My bro & his gf just had a full on heated argument over the fact that he's apparently been lazy in putting the toilet seat down, & that she's had to do it the last few times & it's TOTALLY disgusting (she's a real delicate flower, mind you she doesn't even fudging live with my bro).

So after a few mins of her verbally abusing him & explaining hygiene to him like he's 5, I cannot help but chime in.

Me: Do you lift the seat back up for him after you pee?

The room goes silent, my bro face palms, & she kind of just sits there staring at me with blank eyes. I could tell she was fuming.

She replies: Not that it's any of your business but no, why would I? He's the man, its his job. 

OOFF. I look at my bro in disgust, he shakes his head, eyes to the floor. At this stage he knows shit's about to go down & he's absolutely dreading it. 

Just a bit of background b4 I continue. I am 28f. My brother's 21, his gf 24 (she holds this age difference over him like she's royalty, pretty much always telling him what to do/how to do it). They've been together for almost a year now. 

I finally release the tension in my clenched fists & respond - the exchange went down something like this:

Me: Why is it a mans job only to put the seat down/up? Do your arms not work properly?

Her: It's common courtesy and the gentlemanly thing to do. I don't get why it's an issue, you're a girl you should be on my side?

Me: So women don't need to be courteous then? 

Her: (Clearly pissed off) I didn't say that, I just mean out of respect men should put the seat back down, we shouldn't have to do it...

Me: So you're saying that it's OK for men to touch the seat when they have to pee, but its totally unacceptable/a sign of disrespect if women have to touch it to put it back down?

By now it looks like she's about to massacre the place. She looks over at my bro with crazy eyes, to which he responds by telling me to stfu & leave it. Yup, probs what I should've done. But he's my bro, & this entitled idiot was constantly bossing him around & treating him like shit. I was mad. 

So after he told me to stfu, I told him that I'd stfu once his testes had been returned safely to their rightful owner. This did NOT go down well. He tells me to get out (fair enough). She's now screaming at him, telling him he has no respect for her, and that he's a pussy that let's his bitch big sister walk all over him. He apologises profusely, telling her he loves her, begging her to just ignore me.

Meanwhile I'm in the background making whip noises at him whilst gathering my things to leave.

I called my brother when I got home to say sorry cos I genuinely felt bad, but he ignored it & responded with a rather colourful text telling me to shove it.

Probably shouldn't have stuck my nose in, and am most likely the asshole, but this was 1 event of many others where she has verbally abused him for dumb reasons. NO RAGRETS.",
65038,"AITA for ordering food for myself only I am 15 so obviously still living with my parents. I ordered japanese food today and did not order any for my mom and sister. I just started eating when my mom returned home and she started lecturing me about how inconsiderate I am for not ordering food for them too. I obviously have a limited money supply and even ordering food had me spending a quarter of all the money I had at the moment, and i sure as hell didn't want to spend most of my money on food for all of us. I told her that when I start earning money by myself I will get food for everyone when I order some, and that currently I just can't afford it.",
5250,"AITA for not buying a stranger a game? a couple months ago I was in a discord group chat with 3 people. let's call them Jake and Chris

I was good friends with Jake. 4+ years. chris I had maybe 2 conversations with lasting no more than 10 seconds. jake and chris were good friends. chris lets the chat know about a 15 dollar game that he wanted to buy. keep in mind its mid september. he said he only has 5 dollars. my friend says he has 60. seeing what people are talking about I mention that I have 175. chris instantly asked how. I said because I never buy anything. jake said I was stingy. chris asked for me to buy the game. I said no because I'm saving up for a phone. I didn't have a phone. chris got super pissed at me and said I was making up excuses. this goes on for a while and I'm trying to be nice until I just said ""Chris. I don't know you"" jake posted a picture of the kick user button. ""think about what you say before you say it"" for the record. I did. it seemed like the right choice. I said ""sorry I don't wanna spend my money,"" Chris said ""that's all you needed to say"" and then they had a conversation with 2 people alone in a group chat with 5 people. I said it was cluttering and they should move to dms. jake often complains about me doing that.  jake then said ""its not a conversation so its fine."" AITA? keep in mind jake is 14. I'm 13. and idk how old Chris is.",
53750,"AITA for calling her out on a false claim of sexist behaviour? This morning I was having a work related conversation with some of my male colleagues in the office. We were mid discussion when one of our female colleagues comes over and openly asks our group for help with an unrelated issue, she did not ask anyone specifically.

As we were midway through discussing our plan of action in resolving the issue we carried on but made a clear change in tone to signify we were wrapping up the conversation but we did not acknowledge her directly. 

She waited all of 5 seconds and then blew up, claiming she was being ignored for being a women and we were sexist pigs and that we would be reported to HR. We obviously stopped our conversation and I responded it had nothing to do with gender and she should not falsely acuse other of sexism behayvior. In fact she was being rude for interrupting what was clearly an important matter to ask for help with an unrelated and frankly unimportant matter, and was not even prepared to wait until we had finished.

She gave us an angry look and stormed off. My colleague and I have written statements on the proceedings in the event she reports us to HR and we need to defend our behaviour.

For reference, she is from a completely different department and her matter was relating to her role and is not connected with ours at all.

AITA for calling her out on a false claim of sexist behaviour?",
38095,"AITA for not wanting to go with my mother's attempt at playing doctor? Hello folks,

I'm a about-to-graduate physical therapy student living in South East Asia.

My mother was a public health professional; in my country this means that she does not have a license to practice medicine. From what I know of her, she is severely lacking in basic anatomy and other knowledge that is required for a clinician.

After I started studying physical therapy in the Netherlands, she suddenly got it into her head that once I finish studying I can just go back and teach people into physical therapists - experience be damned. So after I returned home to start my internship for my last year, she was recruiting medical students of completely unrelated fields to work for her with dirt cheap salary and expecting me to train them into physical therapists. She bought various machines - some with actual health benefits, some completely untested - and thinks that it makes her a doctor. One time she told a friend to get off hypertension and diabetes meds right in front of my face! My father, who is a retired cardiologist, had an argument with her that day because he, like I, saw her advice as foolish. Naturally she ignored it and continued to tell people that diet and her machines can completely replace medications.

Right now she is hell bent on trying to get me to train completely unqualified people into physical therapists. I do not think I am cut out for teaching, and I do not want to work in an environment where I am forced to teach a medical profession in the absence of people with actual skills (she did not want to hire actual physical therapists). Our relationship has been tense since then.

Here, malpractice is punishable by jail and a large fine. I do not want to be there when the fallout of her trying to play doctor happens and she is saddled with a fine - or worse, landed herself in jail for crippling/killing a patient.

Am I the asshole for refusing to play along with her attempt to play doctor?  

Edit to add situation: I am currently living at home and spending my days alternating between working at a private hospital for training my skills and at her office. She was pressuring (more like guilt tripping now that I think about it) me into doing it because she wanted me to do something useful to her - and she has a dream of making a retirement house of sorts. But health care personnel is short in our country, so her solution to that was... to make her own school instead of just pointing prospective students in the direction of an existing university/college that is already teaching physical therapy.",
80316,"AITA for not wanting to go home for New Years? So, my wife (20) and I (22) have been married for less than a year now. We now live on the complete otherside of the U.S. than we did now and my wife's friends want to buy her a ticket back home the day after christmas and her trip will last way past new years.

Now, I'm happy that she gets to go home but at the same time that'll be our first new years together as a married couple. She offered for me to go with her aswell, but money's tight seeing how. I'm raising my siblings and supporting a fairly decent sized family on my income. 

I tried bringing up my feelings tonight, albeit  being drunk probably didnt help, but it just ended in an argument.

AITA for wanting us to see the new year together?",
